Cement,Blast furnace slag,Fly Ash,Water,Superplasticizer,Coarse aggregate,Fine aggregate,Age,Concrete compressive strength
540,0,0,162,2.5,1040,676,28,7.999
540,0,0,162,2.5,1055,676,28,6.189
332.5,142.5,0,228,0,932,594,270,4.027
332.5,142.5,0,228,0,932,594,365,4.105
198.6,132.4,0,192,0,978.4,825.5,360,4.43
266,114,0,228,0,932,670,90,4.703
380,95,0,228,0,932,594,365,4.37
380,95,0,228,0,932,594,28,3.645
266,114,0,228,0,932,670,28,4.585
475,0,0,228,0,932,594,28,3.929
198.6,132.4,0,192,0,978.4,825.5,90,3.807
198.6,132.4,0,192,0,978.4,825.5,28,2.802
427.5,47.5,0,228,0,932,594,270,4.301
190,190,0,228,0,932,670,90,4.233
304,76,0,228,0,932,670,28,4.781
380,0,0,228,0,932,670,90,5.291
139.6,209.4,0,192,0,1047,806.9,90,3.936
342,38,0,228,0,932,670,365,5.614
380,95,0,228,0,932,594,90,4.056
475,0,0,228,0,932,594,180,4.262
427.5,47.5,0,228,0,932,594,180,4.184
139.6,209.4,0,192,0,1047,806.9,28,2.824
139.6,209.4,0,192,0,1047,806.9,3,0.806
139.6,209.4,0,192,0,1047,806.9,180,4.421
380,0,0,228,0,932,670,365,5.252
380,0,0,228,0,932,670,270,5.33
380,95,0,228,0,932,594,270,4.115
342,38,0,228,0,932,670,180,5.212
427.5,47.5,0,228,0,932,594,28,3.743
475,0,0,228,0,932,594,7,3.86
304,76,0,228,0,932,670,365,5.526
266,114,0,228,0,932,670,365,5.291
198.6,132.4,0,192,0,978.4,825.5,180,4.172
475,0,0,228,0,932,594,270,4.213
190,190,0,228,0,932,670,365,5.369
237.5,237.5,0,228,0,932,594,270,3.841
237.5,237.5,0,228,0,932,594,28,3.008
332.5,142.5,0,228,0,932,594,90,3.772
475,0,0,228,0,932,594,90,4.223
237.5,237.5,0,228,0,932,594,180,3.625
342,38,0,228,0,932,670,90,5.046
427.5,47.5,0,228,0,932,594,365,4.37
237.5,237.5,0,228,0,932,594,365,3.9
380,0,0,228,0,932,670,180,5.31
427.5,47.5,0,228,0,932,594,90,4.154
427.5,47.5,0,228,0,932,594,7,3.508
349,0,0,192,0,1047,806.9,3,1.505
380,95,0,228,0,932,594,180,4.076
237.5,237.5,0,228,0,932,594,7,2.626
380,95,0,228,0,932,594,7,3.282
332.5,142.5,0,228,0,932,594,180,3.978
190,190,0,228,0,932,670,180,4.693
237.5,237.5,0,228,0,932,594,90,3.312
304,76,0,228,0,932,670,90,4.919
139.6,209.4,0,192,0,1047,806.9,7,1.459
198.6,132.4,0,192,0,978.4,825.5,7,1.464
475,0,0,228,0,932,594,365,4.193
198.6,132.4,0,192,0,978.4,825.5,3,0.913
304,76,0,228,0,932,670,180,5.095
332.5,142.5,0,228,0,932,594,28,3.302
304,76,0,228,0,932,670,270,5.438
266,114,0,228,0,932,670,270,5.173
310,0,0,192,0,971,850.6,3,0.987
190,190,0,228,0,932,670,270,5.066
266,114,0,228,0,932,670,180,4.87
342,38,0,228,0,932,670,270,5.506
139.6,209.4,0,192,0,1047,806.9,360,4.47
332.5,142.5,0,228,0,932,594,7,3.028
190,190,0,228,0,932,670,28,4.086
485,0,0,146,0,1120,800,28,7.199
374,189.2,0,170.1,10.1,926.1,756.7,3,3.44
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,2.88
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
425,106.3,0,151.4,18.6,936,803.7,3,3.63
375,93.8,0,126.6,23.4,852.1,992.6,3,2.9
475,118.8,0,181.1,8.9,852.1,781.5,3,3.78
469,117.2,0,137.8,32.2,852.1,840.5,3,4.02
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
388.6,97.1,0,157.9,12.1,852.1,925.7,3,2.81
531.3,0,0,141.8,28.2,852.1,893.7,3,4.13
425,106.3,0,153.5,16.5,852.1,887.1,3,3.34
318.8,212.5,0,155.7,14.3,852.1,880.4,3,2.52
401.8,94.7,0,147.4,11.4,946.8,852.1,3,4.11
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
323.7,282.8,0,183.8,10.3,942.7,659.9,3,2.83
379.5,151.2,0,153.9,15.9,1134.3,605,3,2.86
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,2.44
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
439,177,0,186,11.1,884.9,707.9,3,3.93
389.9,189,0,145.9,22,944.7,755.8,3,4.06
362.6,189,0,164.9,11.6,944.7,755.8,3,3.53
337.9,189,0,174.9,9.5,944.7,755.8,3,2.41
